diff	diff_fill	dir	dir_reverse	bin	bin_reverse	dec	dec_reverse
0000	0000	0	1	00000	00000	0	32
0001	0001	0	1	11110	01111	30	47
0002	0002	0	1	00010	01000	2	40
	0002	1	0	00011	11000	35	24
	0002	0	1	11110	01111	30	47
0003	0003	0	1	00011	11000	3	56
	0003	1	0	00001	10000	33	16
0010	0010	0	1	00011	11000	3	56
	0010	1	0	00000	00000	32	0
	0010	0	1	11100	00111	28	39
0011	0011	0	1	00010	01000	2	40
	0011	1	0	00000	00000	32	0
	0011	0	1	11100	00111	28	39
0012	0012	0	1	00010	01000	2	40
	0012	1	0	00011	11000	35	24
	0012	0	1	00010	01000	2	40
	0012	1	0	00000	00000	32	0
	0012	0	1	11100	00111	28	39
0013	0013	0	1	00011	11000	3	56
	0013	1	0	00001	10000	33	16
	0013	0	1	00011	11000	3	56
	0013	1	0	00000	00000	32	0
	0013	0	1	11100	00111	28	39
0020	0020	0	1	00111	11100	7	60
	0020	1	0	00010	01000	34	8
	0020	0	1	00110	01100	6	44
	0020	1	0	00011	11000	35	24
0021	0021	0	1	00110	01100	6	44
	0021	1	0	00010	01000	34	8
	0021	0	1	00110	01100	6	44
	0021	1	0	00011	11000	35	24
0022	0022	0	1	00110	01100	6	44
	0022	1	0	00011	11000	35	24
	0022	0	1	00110	01100	6	44
	0022	1	0	00011	11000	35	24
0023	0023	0	1	00110	01100	6	44
	0023	1	0	00011	11000	35	24
	0023	0	1	00110	01100	6	44
	0023	1	0	00011	11000	35	24
	0023	0	1	11110	01111	30	47
0030	0030	0	1	00111	11100	7	60
	0030	1	0	00011	11000	35	24
0031	0031	0	1	00110	01100	6	44
	0031	1	0	00011	11000	35	24
0032	0032	0	1	00110	01100	6	44
	0032	1	0	00011	11000	35	24
	0032	0	1	11110	01111	30	47
0033	0033	0	1	00011	11000	3	56
	0033	1	0	00001	10000	33	16
	0033	0	1	00111	11100	7	60
	0033	1	0	00011	11000	35	24
0100	0100	0	1	00111	11100	7	60
	0100	1	0	00000	00000	32	0
	0100	0	1	11000	00011	24	35
0101	0101	0	1	00110	01100	6	44
	0101	1	0	00000	00000	32	0
	0101	0	1	11000	00011	24	35
0102	0102	0	1	00010	01000	2	40
	0102	1	0	00011	11000	35	24
	0102	0	1	00110	01100	6	44
	0102	1	0	00000	00000	32	0
	0102	0	1	11000	00011	24	35
0103	0103	0	1	00011	11000	3	56
	0103	1	0	00001	10000	33	16
	0103	0	1	00111	11100	7	60
	0103	1	0	00000	00000	32	0
	0103	0	1	11000	00011	24	35
0110	0110	0	1	00011	11000	3	56
	0110	1	0	00000	00000	32	0
	0110	0	1	00100	00100	4	36
	0110	1	0	00000	00000	32	0
	0110	0	1	11000	00011	24	35
0111	0111	0	1	00010	01000	2	40
	0111	1	0	00000	00000	32	0
	0111	0	1	00100	00100	4	36
	0111	1	0	00000	00000	32	0
	0111	0	1	11000	00011	24	35
0112	0112	0	1	01110	01110	14	46
	0112	1	0	00111	11100	39	28
	0112	0	1	01110	01110	14	46
	0112	1	0	00110	01100	38	12
	0112	0	1	01100	00110	12	38
	0112	1	0	00111	11100	39	28
0113	0113	0	1	01110	01110	14	46
	0113	1	0	00111	11100	39	28
	0113	0	1	01110	01110	14	46
	0113	1	0	00111	11100	39	28
	0113	0	1	01110	01110	14	46
	0113	1	0	00110	01100	38	12
	0113	0	1	11100	00111	28	39
0120	0120	0	1	01111	11110	15	62
	0120	1	0	00110	01100	38	12
	0120	0	1	01100	00110	12	38
	0120	1	0	00110	01100	38	12
	0120	0	1	01100	00110	12	38
	0120	1	0	00111	11100	39	28
0121	0121	0	1	01110	01110	14	46
	0121	1	0	00110	01100	38	12
	0121	0	1	01100	00110	12	38
	0121	1	0	00110	01100	38	12
	0121	0	1	01100	00110	12	38
	0121	1	0	00111	11100	39	28
0122	0122	0	1	00110	01100	6	44
	0122	1	0	00011	11000	35	24
	0122	0	1	00110	01100	6	44
	0122	1	0	00010	01000	34	8
	0122	0	1	00110	01100	6	44
	0122	1	0	00000	00000	32	0
	0122	0	1	11000	00011	24	35
0123	0123	0	1	00110	01100	6	44
	0123	1	0	00011	11000	35	24
	0123	0	1	00110	01100	6	44
	0123	1	0	00011	11000	35	24
	0123	0	1	00110	01100	6	44
	0123	1	0	00000	00000	32	0
	0123	0	1	11000	00011	24	35
0130	0130	0	1	00111	11100	7	60
	0130	1	0	00010	01000	34	8
	0130	0	1	00110	01100	6	44
	0130	1	0	00000	00000	32	0
	0130	0	1	11000	00011	24	35
0131	0131	0	1	00110	01100	6	44
	0131	1	0	00010	01000	34	8
	0131	0	1	00110	01100	6	44
	0131	1	0	00000	00000	32	0
	0131	0	1	11000	00011	24	35
0132	0132	0	1	00110	01100	6	44
	0132	1	0	00011	11000	35	24
	0132	0	1	00110	01100	6	44
	0132	1	0	00000	00000	32	0
	0132	0	1	11000	00011	24	35
0133	0133	0	1	00011	11000	3	56
	0133	1	0	00001	10000	33	16
	0133	0	1	00111	11100	7	60
	0133	1	0	00010	01000	34	8
	0133	0	1	00110	01100	6	44
	0133	1	0	00000	00000	32	0
	0133	0	1	11000	00011	24	35
0200	0200	0	1	01111	11110	15	62
	0200	1	0	00100	00100	36	4
	0200	0	1	01100	00110	12	38
	0200	1	0	00111	11100	39	28
0201	0201	0	1	01110	01110	14	46
	0201	1	0	00100	00100	36	4
	0201	0	1	01100	00110	12	38
	0201	1	0	00111	11100	39	28
0202	0202	0	1	01110	01110	14	46
	0202	1	0	00111	11100	39	28
	0202	0	1	01110	01110	14	46
	0202	1	0	00111	11100	39	28
0203	0203	0	1	01110	01110	14	46
	0203	1	0	00111	11100	39	28
	0203	0	1	01110	01110	14	46
	0203	1	0	00111	11100	39	28
	0203	0	1	11110	01111	30	47
0210	0210	0	1	01111	11110	15	62
	0210	1	0	00110	01100	38	12
	0210	0	1	01100	00110	12	38
	0210	1	0	00111	11100	39	28
0211	0211	0	1	01110	01110	14	46
	0211	1	0	00110	01100	38	12
	0211	0	1	01100	00110	12	38
	0211	1	0	00111	11100	39	28
0212	0212	0	1	01110	01110	14	46
	0212	1	0	00111	11100	39	28
	0212	0	1	01110	01110	14	46
	0212	1	0	00110	01100	38	12
	0212	0	1	11100	00111	28	39
0213	0213	0	1	00011	11000	3	56
	0213	1	0	00001	10000	33	16
	0213	0	1	01111	11110	15	62
	0213	1	0	00110	01100	38	12
	0213	0	1	01100	00110	12	38
	0213	1	0	00111	11100	39	28
0220	0220	0	1	01111	11110	15	62
	0220	1	0	00110	01100	38	12
	0220	0	1	01100	00110	12	38
	0220	1	0	00110	01100	38	12
	0220	0	1	11100	00111	28	39
0221	0221	0	1	01110	01110	14	46
	0221	1	0	00110	01100	38	12
	0221	0	1	01100	00110	12	38
	0221	1	0	00110	01100	38	12
	0221	0	1	11100	00111	28	39
0222	0222	0	1	01110	01110	14	46
	0222	1	0	00111	11100	39	28
	0222	0	1	01110	01110	14	46
	0222	1	0	00110	01100	38	12
	0222	0	1	00100	00100	4	36
	0222	1	0	00110	01100	38	12
	0222	0	1	11100	00111	28	39
0223	0223	0	1	00011	11000	3	56
	0223	1	0	00001	10000	33	16
	0223	0	1	01111	11110	15	62
	0223	1	0	00110	01100	38	12
	0223	0	1	01100	00110	12	38
	0223	1	0	00110	01100	38	12
	0223	0	1	11100	00111	28	39
0230	0230	0	1	00111	11100	7	60
	0230	1	0	00010	01000	34	8
	0230	0	1	01110	01110	14	46
	0230	1	0	00100	00100	36	4
	0230	0	1	01100	00110	12	38
	0230	1	0	00111	11100	39	28
0231	0231	0	1	00110	01100	6	44
	0231	1	0	00010	01000	34	8
	0231	0	1	01110	01110	14	46
	0231	1	0	00100	00100	36	4
	0231	0	1	01100	00110	12	38
	0231	1	0	00111	11100	39	28
0232	0232	0	1	00110	01100	6	44
	0232	1	0	00011	11000	35	24
	0232	0	1	01110	01110	14	46
	0232	1	0	00100	00100	36	4
	0232	0	1	01100	00110	12	38
	0232	1	0	00111	11100	39	28
0233	0233	0	1	00110	01100	6	44
	0233	1	0	00011	11000	35	24
	0233	0	1	01110	01110	14	46
	0233	1	0	00111	11100	39	28
	0233	0	1	01110	01110	14	46
	0233	1	0	00111	11100	39	28
0300	0300	0	1	01111	11110	15	62
	0300	1	0	00111	11100	39	28
0301	0301	0	1	01110	01110	14	46
	0301	1	0	00111	11100	39	28
0302	0302	0	1	01110	01110	14	46
	0302	1	0	00111	11100	39	28
	0302	0	1	11110	01111	30	47
0303	0303	0	1	00011	11000	3	56
	0303	1	0	00001	10000	33	16
	0303	0	1	01111	11110	15	62
	0303	1	0	00111	11100	39	28
